# R G B
150 216 116
234 148 198
114 167 225
252 232 165
191 146 117
165 227 240
130 191 106
250 210 220
255 180 200
200 240 245
200 230 250
190 225 240
190 230 245
195 230 245
195 225 240
190 235 245
195 235 245
200 235 245
195 240 245
200 240 250
190 240 250
200 245 250
195 245 250
190 245 250
190 250 255
185 245 255
185 250 255
180 245 255
180 250 255
175 250 255
175 245 255
170 245 255
170 250 255
165 245 255
165 250 255
160 250 255
160 245 255
155 245 255
155 250 255
150 245 255
150 250 255
145 250 255
145 245 255
140 245 255
140 250 255
135 250 255
135 245 255
130 245 255
130 250 255
125 245 255
125 250 255
120 250 255
120 245 255
115 245 255
115 250 255
110 250 255
110 245 255
105 245 255
105 250 255
100 250 255
100 245 255
95 245 255
95 250 255
90 250 255
90 245 255
85 245 255
85 250 255
80 250 255
80 245 255
75 245 255
75 250 255
70 250 255
70 245 255
65 245 255
65 250 255
60 250 255
60 245 255
55 245 255
55 250 255
50 250 255
50 245 255
45 245 255
45 250 255
40 250 255
40 245 255
35 245 255
35 250 255
30 250 255
30 245 255
25 245 255
25 250 255
20 250 255
20 245 255
15 245 255
15 250 255
10 250 255
10 245 255
5 245 255
5 250 255
0 245 255
0 250 255
0 255 255
5 255 255
10 255 255
15 255 255
20 255 255
25 255 255
30 255 255
35 255 255
40 255 255
45 255 255
50 255 255
55 255 255
60 255 255
65 255 255
70 255 255
75 255 255
80 255 255
85 255 255
90 255 255
95 255 255
100 255 255
105 255 255
110 255 255
115 255 255
120 255 255
125 255 255
130 255 255
135 255 255
140 255 255
145 255 255
150 255 255
155 255 255
160 255 255
165 255 255
170 255 255
175 255 255
180 255 255
185 255 255
190 255 255
195 255 255
200 255 255
205 255 255
210 255 255
215 255 255
220 255 255
225 255 255
230 255 255
235 255 255
240 255 255
245 255 255
250 255 255
255 255 255
255 250 255
255 245 255
255 240 255
255 235 255
255 230 255
255 225 255
255 220 255
255 215 255
255 210 255
255 205 255
255 200 255
255 195 255
255 190 255
255 185 255
255 180 255
255 175 255
255 170 255
255 165 255
255 160 255
255 155 255
255 150 255
255 145 255
255 140 255
255 135 255
255 130 255
255 125 255
255 120 255
255 115 255
255 110 255
255 105 255
255 100 255
255 95 255
255 90 255
255 85 255
255 80 255
255 75 255
255 70 255
255 65 255
255 60 255
255 55 255
255 50 255
255 45 255
255 40 255
255 35 255
255 30 255
255 25 255
255 20 255
255 15 255
255 10 255
255 5 255
255 0 255
255 0 250
255 0 245
255 0 240
255 0 235
255 0 230
255 0 225
255 0 220
255 0 215
255 0 210
255 0 205
255 0 200
255 0 195
255 0 190
255 0 185
255 0 180
255 0 175
255 0 170
255 0 165
255 0 160
255 0 155
255 0 150
255 0 145
255 0 140
255 0 135
255 0 130
255 0 125
255 0 120
255 0 115
255 0 110
255 0 105
255 0 100
255 0 95
255 0 90
255 0 85
255 0 80
255 0 75
255 0 70
255 0 65
255 0 60
255 0 55
255 0 50
255 0 45
255 0 40
255 0 35
255 0 30
255 0 25
255 0 20
255 0 15
255 0 10
255 0 5
255 0 0
250 0 0
245 0 0
240 0 0
235 0 0
230 0 0
225 0 0
220 0 0
215 0 0
210 0 0
205 0 0
200 0 0
195 0 0
190 0 0
185 0 0
180 0 0
175 0 0
170 0 0
165 0 0
160 0 0
155 0 0
150 0 0
145 0 0
140 0 0
135 0 0
130 0 0
125 0 0
120 0 0
115 0 0
110 0 0
105 0 0
100 0 0
95 0 0
90 0 0
85 0 0
80 0 0
75 0 0
70 0 0
65 0 0
60 0 0
55 0 0
50 0 0
45 0 0
40 0 0
35 0 0
30 0 0
25 0 0
20 0 0
15 0 0
10 0 0
5 0 0
0 0 0
0 5 0
0 10 0
0 15 0
0 20 0
0 25 0
0 30 0
0 35 0
0 40 0
0 45 0
0 50 0
0 55 0
0 60 0
0 65 0
0 70 0
0 75 0
0 80 0
0 85 0
0 90 0
0 95 0
0 100 0
0 105 0
0 110 0
0 115 0
0 120 0
0 125 0
0 130 0
0 135 0
0 140 0
0 145 0
0 150 0
0 155 0
0 160 0
0 165 0
0 170 0
0 175 0
0 180 0
0 185 0
0 190 0
0 195 0
0 200 0
0 205 0
0 210 0
0 215 0
0 220 0
0 225 0
0 230 0
0 235 0
0 240 0
0 245 0
0 250 0
0 255 0
5 255 0
10 255 0
15 255 0
20 255 0
25 255 0
30 255 0
35 255 0
40 255 0
45 255 0
50 255 0
55 255 0
60 255 0
65 255 0
70 255 0
75 255 0
80 255 0
85 255 0
90 255 0
95 255 0
100 255 0
105 255 0
110 255 0
115 255 0
120 255 0
125 255 0
130 255 0
135 255 0
140 255 0
145 255 0
150 255 0
155 255 0
160 255 0
165 255 0
170 255 0
175 255 0
180 255 0
185 255 0
190 255 0
195 255 0
200 255 0
205 255 0
210 255 0
215 255 0
220 255 0
225 255 0
230 255 0
235 255 0
240 255 0
245 255 0
250 255 0
255 255 0
255 250 0
255 245 0
255 240 0
255 235 0
255 230 0
255 225 0
255 220 0
255 215 0
255 210 0
255 205 0
255 200 0
255 195 0
255 190 0
255 185 0
255 180 0
255 175 0
255 170 0
255 165 0
255 160 0
255 155 0
255 150 0
255 145 0
255 140 0
255 135 0
255 130 0
255 125 0
255 120 0
255 115 0
255 110 0
255 105 0
255 100 0
255 95 0
255 90 0
255 85 0
255 80 0
255 75 0
255 70 0
255 65 0
255 60 0
255 55 0
255 50 0
255 45 0
255 40 0
255 35 0
255 30 0
255 25 0
255 20 0
255 15 0
255 10 0
255 5 0
